Fcilty_typ,Address,Xcoord,Ycoord
BoA ATM,"1 Post Office Square
Boston MA 02109",-71.05544,
BoA ATM,"4 Commercial St
Boston MA 02109",-71.05366,
BoA ATM,"60 State St
Boston MA 02109",-71.05666,
BoA ATM,"Zero Post Office Square
Boston MA 02109",-71.05644,
BoA ATM,"100 Federal St
Boston MA 02110",-71.05625,
BoA ATM,"125 High St
Boston MA 02110",-71.05318,
BoA ATM,"175 Federal St
Boston MA 02110",-71.05622,
BoA ATM,"175 Federal St
Boston MA 02110",-71.05621,
BoA ATM,"2 Atlantic Ave
Boston MA 02110",-71.05084,
BoA ATM,"290 Congress St
Boston MA 02110",-71.05565,
BoA ATM,"30 Rowes Wharf
Boston MA 02110",-71.05047,
BoA ATM,"65 Franklin St
Boston MA 02110",-71.05824,
BoA ATM,"79 Summer St
Boston MA 02110",-71.05869,
BoA ATM,"710 Washington St
Boston MA 02111",-71.06299,
BoA ATM,"730 Atlantic Ave
Boston MA 02111",-71.05626,
BoA ATM,"One Financial Center
Boston MA 02111",-71.05606,
BoA ATM,"260 Hanover St
Boston MA 02113",-71.05484,
BoA ATM,"48-50 Salem St
Boston MA 02113",-71.05625,
BoA ATM,"11 Winter St
Boston MA 02114",-71.0612,
BoA ATM,"161 Cambridge St
Boston MA 02114",-71.06533,
BoA ATM,"200 Portland St
Boston MA 02114",-71.06232,
BoA ATM,"243 Charles St
Boston MA 02114",-71.0705,
BoA ATM,"32 Fruit St Wang Bldg
Boston MA 02114",-71.06832,
BoA ATM,"133 Massachusetts Ave
Boston MA 02115",-71.08784,
BoA ATM,"161 Massachusetts Ave
Boston MA 02115",-71.08735,
BoA ATM,"1643 Tremont St
Boston MA 02115",-71.10405,
BoA ATM,"221 Massachusetts Ave
Boston MA 02115",-71.08643,
BoA ATM,"249 Ruggles St
Boston MA 02115",-71.08922,
BoA ATM,"285 Huntington Ave
Boston MA 02115",-71.08648,
BoA ATM,"300 the Fenway
Boston MA 02115",-71.0998,
BoA ATM,"333 Longwood Ave
Boston MA 02115",-71.10558,
BoA ATM,"346 Huntington Ave
Boston MA 02115",-71.08785,
BoA ATM,"610 Huntington Ave
Boston MA 02115",-71.09771,
BoA ATM,"621 Huntington Ave
Boston MA 02115",-71.10012,
BoA ATM,"70 Francis St
Boston MA 02115",-71.10769,
BoA ATM,"130 Dartmouth St
Boston MA 02116",-71.07602,
BoA ATM,"145 Dartmouth St
Boston MA 02116",-71.07587,
BoA ATM,"157 Stuart Street
Boston MA 02116",-71.06619,
BoA ATM,"200 Clarendon St
Boston MA 02116",-71.07558,
BoA ATM,"31 St James Ave
Boston MA 02116",-71.07193,
BoA ATM,"440 Boylston Street
Boston MA 02116",-71.07322,
BoA ATM,"465 Columbus Ave
Boston MA 02116",-71.07832,
BoA ATM,"699 Boylston St
Boston MA 02116",-71.0794,
BoA ATM,"80 Boylston St
Boston MA 02116",-71.06491,
BoA ATM,"800 Boylston St
Boston MA 02116",-71.08262,
BoA ATM,"855 Boylston St
Boston MA 02116",-71.08293,
BoA ATM,"1762 Washington St
Boston MA 02118",-71.07695,
BoA ATM,"393 Massachusetts Ave
Boston MA 02118",-71.08345,
BoA ATM,"557 Tremont St
Boston MA 02118",-71.07202,
BoA ATM,"114 Dudley St
Roxbury MA 02119",-71.08475,
BoA ATM,"39-59 Warren St
Roxbury MA 02119",-71.0835,
BoA ATM,"1614 Tremont St
Boston MA 02120",-71.10403,
BoA ATM,"1643 Tremont St
Roxbury MA 02120",-71.10421,
BoA ATM,"Tremont St
Roxbury MA 02120",-71.09566,
BoA ATM,"470 Blue Hill Ave
Dorchester MA 02121",-71.08263,
BoA ATM,"1440 Dorchester Ave
Dorchester MA 02122",-71.05963,
BoA ATM,"1515 Dorchester Ave
Dorchester MA 02122",-71.06123,
BoA ATM,"740 Gallivan Blvd
Dorchester MA 02122",-71.04592,
BoA ATM,"1 Summer St
Dorchester MA 02124",-71.06133,
BoA ATM,"1146 Blue Hill Ave
Dorchester MA 02124",-71.09095,
BoA ATM,"599 Washington St
Dorchester MA 02124",-71.07176,
BoA ATM,"618 Washington St
Dorchester MA 02124",-71.07141,
BoA ATM,"100 Morrissey Blvd
Boston MA 02125",-71.03758,
BoA ATM,"1104 Massachusetts Ave
Dorchester MA 02125",-71.06492,
BoA ATM,"650 Dudley St
Dorchester MA 02125",-71.07015,
BoA ATM,"863 Columbia Rd
Dorchester MA 02125",-71.05171,
BoA ATM,"Campus Center  Upper Level
Boston MA 02125",-71.03675,
BoA ATM,"McCormack Hall  1st Floor
Boston MA 02125",-71.03932,
BoA ATM,"Quinn Administration  Upper Level
Bostom MA 02125",-71.03977,
BoA ATM,"Wheatley Hall
Boston MA 02125",-71.0387,
BoA ATM,"100 River St
Mattapan MA 02126",-71.0751,
BoA ATM,"1659 Blue Hill Ave
Boston MA 02126",-71.09399,
